Country,City,2019,2020,2021,
Spain,Alicante,96523,72732,85378,
Spain,Barcelona,404552,270214,310469,
Spain,Ceuta,4854,3712,4004,
Spain,Cordoba,26617,21938,24290,
Spain,Granada,35446,28840,33274,
Spain,Madrid,423399,310194,356531,
Spain,Malaga,84583,66451,79712,
Spain,Melilla,5716,4545,4208,
Spain,Murcia,63248,50969,62206,
Spain,Rioja,9341,8268,9573,
Spain,Salamanca,10320,8520,9943,
Spain,Segovia,4700,35489,36521,
Spain,Seville,91186,72490,80452,
Spain,Spain,43846,33336,38699,
Spain,Valencia,129715,102117,130692,
Spain,Zaragoza,36009,28374,34066,
