Country,City,2019,2020,2021
India,Andhra Pradesh,129389,148002,144703
India,Arunachal Pradesh,2700,2746,2817
India,Assam,107014,109952,120572
India,Bihar,189696,236055,262815
India,Chhattisgarh,84192,90516,98233
India,Delhi,216920,244714,262612
India,Goa,3706,3943,3884
India,Gujarat,435422,334799,393194
India,Haryana,143111,224816,191229
India,Himachal Pradesh,17249,17796,19594
India,Jammu and Kashmir,26624,25608,27276
India,Jharkhand,47817,52664,55664
India,Karnataka,179479,184063,163416
India,Kerala,27078,53500,12167
India,Madhya Pradesh,365154,379682,405129
India,Maharashtra,430866,467753,515674
India,Manipur,4098,4250,3781
India,Meghalaya,3582,3952,3482
India,Mizoram,2800,2738,2351
India,Nagaland,1908,1553,1775
India,Odisha,103565,103866,107408
India,Punjab,57739,70673,70318
India,Rajasthan,251147,245553,250546
India,Sikkim,1020,979,869
India,Tamil Nadu,467369,420876,499188
India,Telangana,120273,133197,126858
India,Tripura,4081,4238,6078
India,Uttar Pradesh,494025,600082,585157
India,Uttarakhand,16074,28861,34715
India,West Bengal,204400,195537,188063
